R vR err_vR vT err_vT V-B V Mass
0.0943 -0.7006 1.3707 -7.6951 1.3716 1.0335 8.2729 0.5073
0.1787 -10.8612 1.1014 4.7878 1.1029 0.6680 6.1575 0.6751
0.2081 -5.1341 1.0580 -10.6722 1.0398 0.4580 4.4323 0.8009
0.2277 -13.8379 1.8617 -19.1898 1.8677 1.2390 9.4475 0.4032
0.2598 -15.2632 1.1912 -6.0559 1.1919 0.8700 7.3058 0.5826
0.2627 9.7160 1.0966 -9.8872 1.0965 0.6514 6.0618 0.6830
0.2318 -7.0965 1.0805 4.2367 1.0783 0.5913 5.6979 0.7132
0.0946 7.8760 1.9328 -6.4727 1.9372 1.2538 9.5426 0.3932
0.2436 2.9556 3.2142 -1.6530 3.2110 1.4162 11.0716 0.2107
0.2287 -1.6040 1.0688 -5.3276 1.0706 0.5303 5.2370 0.7501
0.1567 8.4318 1.0694 -2.2092 1.0717 0.5339 5.2678 0.7477
0.2507 4.6043 2.7850 -11.3627 2.8298 1.3709 10.5292 0.2703
0.2664 3.0275 1.6003 -7.8744 1.6038 1.1503 8.9258 0.4526
0.2539 -1.5570 1.0573 5.7527 1.0371 0.4416 4.1789 0.8120
0.1702 -7.2108 1.0680 -13.1676 1.0694 0.5263 5.2025 0.7527
0.2688 3.6708 2.7480 1.9874 2.7881 1.3678 10.4892 0.2756
0.1497 -2.5103 2.1667 2.2576 2.1679 1.3001 9.8439 0.3602
0.0559 15.3314 2.3132 -5.8463 2.3162 1.3219 10.0102 0.3399
0.2370 -8.0656 2.9874 4.0836 3.0193 1.3865 10.7314 0.2453
0.2670 9.3643 3.2219 12.7373 3.2131 1.4201 11.1117 0.2072
0.2069 7.0549 1.3035 -2.8773 1.3002 0.9807 7.9794 0.5302
0.2842 20.4516 3.2059 -7.4794 3.2087 1.4121 11.0284 0.2145
0.2640 -9.1479 1.0582 -4.0357 1.0369 0.4385 4.1053 0.8148
0.1719 1.0645 1.0762 -3.1740 1.0773 0.5688 5.5433 0.7259
0.2138 0.6303 1.1185 -3.1928 1.1179 0.7097 6.3929 0.6557
0.1257 -18.5549 1.0578 5.7404 1.0393 0.4550 4.3918 0.8028
0.1738 6.6253 1.0671 3.9157 1.0680 0.5215 5.1599 0.7559
0.2555 16.9028 1.1669 -9.0378 1.1708 0.8242 7.0181 0.6050
0.2437 1.5809 1.1816 5.3721 1.1836 0.8520 7.1923 0.5915
0.2818 6.7713 1.0897 0.1011 1.0875 0.6280 5.9256 0.6943
0.1730 -1.0230 1.4876 -6.1610 1.4871 1.1039 8.6672 0.4748
0.2257 -0.9998 1.3093 3.0277 1.3065 0.9852 8.0062 0.5281
0.2942 1.3540 1.0730 4.2048 1.0766 0.5537 5.4291 0.7351
0.0752 -8.8542 1.8005 3.5153 1.8074 1.2245 9.3570 0.4124
0.2679 -5.6569 1.2879 -1.8037 1.2831 0.9687 7.9070 0.5359
0.2924 6.8213 2.0879 0.7206 2.0888 1.2865 9.7503 0.3709
0.2786 7.0956 1.0865 -2.0925 1.0833 0.6171 5.8611 0.6996
0.1832 20.3295 1.1941 -6.8848 1.1945 0.8755 7.3401 0.5799
0.2413 5.6516 1.1028 -9.0152 1.1048 0.6730 6.1863 0.6728
0.2061 -15.6711 1.2168 -7.3398 1.2147 0.9015 7.5041 0.5669
0.2331 -6.5585 1.0674 0.7835 1.0684 0.5230 5.1734 0.7549
0.2438 -16.7803 1.0613 -5.6911 1.0522 0.4882 4.8099 0.7800
0.2811 -11.2158 1.0606 0.3750 1.0491 0.4834 4.7520 0.7835
0.2684 6.3896 3.2243 -1.0320 3.2137 1.4213 11.1243 0.2061
0.1771 -4.2893 1.0602 -2.6878 1.0476 0.4810 4.7228 0.7853
0.0701 5.5586 1.1135 13.7644 1.1137 0.6980 6.3274 0.6611
0.1990 -0.4795 1.6838 -9.0047 1.6891 1.1825 9.1082 0.4362
0.2677 2.4066 1.5915 17.3325 1.5947 1.1467 8.9056 0.4544
0.2725 -5.6450 3.2116 11.0730 3.2103 1.4149 11.0581 0.2118
0.2923 4.2342 1.1747 -3.2727 1.1776 0.8389 7.1102 0.5979
0.2807 0.1330 1.5549 6.1101 1.5567 1.1315 8.8216 0.4617
0.1340 4.5001 1.0731 7.9302 1.0766 0.5539 5.4306 0.7350
0.1004 0.2203 1.7656 13.3655 1.7721 1.2123 9.2827 0.4197
0.1371 -2.7466 1.0808 -11.1142 1.0783 0.5934 5.7114 0.7121
0.2269 14.6524 2.1119 9.6027 2.1125 1.2912 9.7818 0.3674
0.1509 6.4162 1.1048 18.3226 1.1065 0.6777 6.2128 0.6706
0.2669 -1.3623 1.1105 -12.8056 1.1112 0.6909 6.2875 0.6644
0.1286 -4.5981 1.1431 -8.4923 1.1420 0.7694 6.7132 0.6296
0.1114 0.9631 1.1539 14.6935 1.1555 0.7948 6.8527 0.6184
0.2580 9.8509 1.0750 8.9307 1.0770 0.5632 5.5018 0.7293
0.1624 5.0539 1.3176 10.5212 1.3157 0.9916 8.0451 0.5251
0.0470 4.1368 1.4202 6.6319 1.4199 1.0663 8.4538 0.4927
0.0840 -4.0186 1.0576 -2.5059 1.0370 0.4406 4.1568 0.8128
0.2467 1.5064 1.0584 -3.2605 1.0368 0.4379 4.0876 0.8154
0.1524 -14.4926 1.8958 -21.0549 1.9010 1.2462 9.4931 0.3985
0.0941 7.4617 1.0583 7.8973 1.0369 0.4380 4.0919 0.8153
0.2375 5.7105 2.7432 2.6970 2.7827 1.3674 10.4840 0.2763
0.1983 2.8651 3.0833 -7.6152 3.1079 1.3942 10.8267 0.2346
0.1815 -3.3040 1.0640 -3.9651 1.0630 0.5061 5.0142 0.7664
0.1911 2.3199 1.1578 -5.5075 1.1602 0.8038 6.9022 0.6143
0.1552 -2.5927 2.4660 -11.4369 2.4708 1.3411 10.1834 0.3171
0.2666 -13.0893 1.2529 -8.1037 1.2473 0.9387 7.7265 0.5499
0.2663 0.7333 1.5092 -0.6622 1.5094 1.1126 8.7167 0.4706
0.1920 5.0888 1.1225 1.4483 1.1212 0.7191 6.4453 0.6513
0.1456 -6.0727 2.8857 -10.4285 2.9254 1.3786 10.6304 0.2574
0.2005 -0.1336 2.1864 -1.1507 2.1879 1.3032 9.8663 0.3575
0.2284 -1.6055 1.5341 18.2844 1.5352 1.1228 8.7738 0.4657
0.2594 2.4361 2.5965 6.1978 2.6173 1.3544 10.3251 0.2978
0.2450 2.0202 2.2490 0.4835 2.2512 1.3127 9.9373 0.3490
0.1552 8.0986 1.1856 12.1318 1.1871 0.8595 7.2395 0.5878
0.0994 -14.1704 2.9550 9.6751 2.9894 1.3840 10.6992 0.2490
0.2513 7.4992 1.0714 4.2028 1.0749 0.5451 5.3605 0.7406
0.2620 12.5345 1.1940 3.4544 1.1944 0.8753 7.3391 0.5799
0.1003 -28.0376 2.2408 8.6491 2.2429 1.3115 9.9280 0.3501
0.1870 -0.5970 1.3881 6.0580 1.3886 1.0452 8.3364 0.5022
0.2354 -17.8848 2.2008 11.9702 2.2024 1.3054 9.8827 0.3556
0.2276 6.1114 2.7336 -9.8217 2.7719 1.3666 10.4736 0.2776
0.2861 -4.4072 1.1789 3.9168 1.1813 0.8469 7.1605 0.5940
0.1247 3.3381 1.0823 12.5411 1.0787 0.6019 5.7659 0.7076
0.1311 -3.1170 1.0633 17.8036 1.0602 0.5013 4.9605 0.7701
0.2778 -10.8826 1.0658 0.0157 1.0658 0.5147 5.0981 0.7604
0.2100 -0.6199 1.0607 2.2039 1.0497 0.4843 4.7632 0.7828
0.2470 -2.9943 1.1325 -4.9776 1.1295 0.7443 6.5761 0.6406
0.0928 -5.3266 1.9152 10.1725 1.9200 1.2502 9.5191 0.3957
0.2791 -7.7435 1.6491 3.7244 1.6539 1.1696 9.0343 0.4430
0.2895 1.7590 1.1300 -4.4884 1.1274 0.7384 6.5437 0.6432
0.2323 7.8755 1.0578 -4.7368 1.0370 0.4398 4.1394 0.8135
0.2804 -2.6130 1.2406 3.5616 1.2362 0.9260 7.6505 0.5557
0.0298 -10.7500 1.1509 -6.9131 1.1517 0.7877 6.8136 0.6215
0.1590 -11.8979 1.0715 8.0592 1.0750 0.5457 5.3655 0.7402
0.2571 10.5044 3.2048 -6.8831 3.2084 1.4115 11.0224 0.2151
0.0998 -22.0783 1.7079 -9.5439 1.7135 1.1914 9.1596 0.4315
0.2902 6.2015 2.5543 -12.4564 2.5697 1.3503 10.2794 0.3041
0.2358 -7.7182 1.8542 4.0279 1.8604 1.2374 9.4374 0.4043
0.0905 -3.0148 1.0575 2.1926 1.0385 0.4499 4.3221 0.8060
0.2540 3.9946 3.0125 17.9801 3.0425 1.3885 10.7564 0.2424
0.2660 9.8826 1.0635 7.9853 1.0611 0.5028 4.9774 0.7689
0.2742 -3.4296 1.0646 -6.2636 1.0639 0.5086 5.0409 0.7645
0.1520 -2.1742 3.0678 7.6311 3.0935 1.3930 10.8113 0.2363
0.2280 -18.7186 2.9760 4.5063 3.0088 1.3856 10.7201 0.2466
0.2409 -3.2349 3.0325 -6.8193 3.0610 1.3901 10.7762 0.2402
0.2501 6.5776 1.2771 6.2765 1.2713 0.9604 7.8570 0.5398
0.1495 1.8829 1.0636 4.8021 1.0618 0.5040 4.9910 0.7680
0.2810 13.0738 2.6272 -18.7590 2.6519 1.3572 10.3584 0.2933
0.1131 -3.1110 1.6592 2.4739 1.6640 1.1734 9.0557 0.4411
0.2923 -2.7237 1.8706 0.6091 1.8764 1.2409 9.4593 0.4020
0.2637 -1.0173 2.0342 8.2065 2.0364 1.2755 9.6784 0.3789
0.1688 1.9337 2.8678 -6.9254 2.9089 1.3773 10.6126 0.2596
0.2699 2.0258 1.0581 4.1667 1.0400 0.4594 4.4511 0.8000
0.2238 -4.1021 2.2345 3.6491 2.2365 1.3105 9.9209 0.3510
0.0910 3.2809 1.6156 11.1083 1.6195 1.1566 8.9607 0.4496
0.1588 4.2142 1.0859 -12.8680 1.0826 0.6154 5.8504 0.7005
0.0926 -7.7136 1.9783 -3.4849 1.9817 1.2637 9.6036 0.3868
0.2746 4.2076 1.1440 12.6425 1.1432 0.7715 6.7249 0.6287
0.2894 8.9671 1.0593 -14.9729 1.0366 0.4363 4.0067 0.8183
0.0801 4.9832 2.3675 -4.2529 2.3711 1.3291 10.0717 0.3319
0.2341 -9.8590 1.0718 11.3892 1.0756 0.5477 5.3818 0.7389
0.1096 -13.6636 1.2691 -8.6640 1.2625 0.9542 7.8199 0.5427
0.2414 -1.2107 1.8436 2.9465 1.8500 1.2352 9.4232 0.4057
0.2312 3.7689 1.0627 -3.5263 1.0580 0.4977 4.9195 0.7728
0.2089 -0.2953 1.2002 12.4961 1.1998 0.8853 7.4023 0.5749
0.2608 -0.8035 1.1836 -4.8672 1.1854 0.8558 7.2162 0.5896
0.2305 12.8121 2.0554 2.8322 2.0570 1.2799 9.7067 0.3758
0.2805 1.5030 1.1954 8.7116 1.1956 0.8780 7.3558 0.5786
0.2764 9.5522 1.5632 -15.0932 1.5654 1.1350 8.8406 0.4600
0.1785 -0.1455 1.0590 3.6663 1.0427 0.4735 4.6304 0.7906
0.1800 -13.5082 1.0621 0.2893 1.0555 0.4935 4.8721 0.7760
0.2294 -2.4848 1.1686 -3.8565 1.1722 0.8272 7.0373 0.6035
0.0344 -6.5915 1.1027 3.0264 1.1045 0.6724 6.1827 0.6731
0.2545 1.5006 1.2331 -19.7002 1.2294 0.9183 7.6046 0.5592
0.2762 -5.5533 1.0572 1.4611 1.0377 0.4456 4.2528 0.8090
0.1567 6.8260 1.1108 2.1967 1.1115 0.6917 6.2920 0.6641
0.2760 8.2730 1.0692 -7.5305 1.0713 0.5326 5.2569 0.7486
0.1685 -4.9733 1.0639 5.7067 1.0629 0.5058 5.0109 0.7666
0.2192 -11.5087 1.9896 13.5127 1.9927 1.2661 9.6187 0.3853
0.2492 17.1802 2.0921 -16.1514 2.0930 1.2873 9.7559 0.3703
0.2648 19.7917 1.1655 -0.4299 1.1696 0.8214 7.0010 0.6063
0.2551 6.7395 1.0698 4.1329 1.0723 0.5360 5.2857 0.7464
0.1151 -5.8463 2.2840 -0.2905 2.2866 1.3178 9.9771 0.3440
0.2225 -11.1248 1.1924 10.6968 1.1930 0.8723 7.3201 0.5814
0.1902 -13.5784 1.1046 2.6261 1.1063 0.6773 6.2104 0.6708
0.2191 0.3203 3.0854 2.6061 3.1098 1.3944 10.8288 0.2344
0.2795 -4.4897 1.1883 -0.2464 1.1894 0.8646 7.2715 0.5853
0.0661 -10.8331 1.0590 -10.8851 1.0367 0.4365 4.0310 0.8175
0.1945 1.4890 1.6191 19.6685 1.6232 1.1580 8.9687 0.4488
0.2131 7.5113 1.2331 -3.0796 1.2294 0.9183 7.6044 0.5593
0.2243 -3.2379 1.0821 15.3740 1.0786 0.6008 5.7588 0.7082
0.2721 -5.1054 1.1788 2.9214 1.1811 0.8466 7.1582 0.5941
0.0456 1.4173 1.0612 -3.9111 1.0516 0.4873 4.7989 0.7806
0.2787 9.6970 1.1707 11.6912 1.1741 0.8313 7.0626 0.6016
0.1300 -7.3977 1.1116 -3.2780 1.1121 0.6935 6.3023 0.6632
0.0811 0.2510 1.0711 5.8126 1.0744 0.5433 5.3462 0.7417
0.1615 0.6554 1.3456 1.0699 1.3464 1.0153 8.1749 0.5149
0.2018 -7.0902 2.5637 -6.1388 2.5802 1.3512 10.2896 0.3027
0.2320 2.1248 2.0808 -12.2655 2.0819 1.2851 9.7408 0.3720
0.2225 -0.6842 1.1939 -3.3877 1.1943 0.8751 7.3376 0.5801
0.1024 -5.2725 3.2370 -12.4680 3.2171 1.4279 11.1905 0.2007
0.2535 -5.1907 2.5258 10.0143 2.5375 1.3475 10.2485 0.3083
0.2581 -10.7021 1.4945 -4.7608 1.4942 1.1067 8.6830 0.4735
0.2551 -10.2052 1.0595 -12.8701 1.0447 0.4766 4.6688 0.7884
0.2564 0.8241 1.0634 3.6169 1.0610 0.5026 4.9754 0.7690
0.2170 -9.9540 3.0274 24.4550 3.0562 1.3897 10.7711 0.2407
0.1824 9.5342 1.1188 0.4289 1.1181 0.7104 6.3968 0.6554
0.2380 6.0203 1.1227 10.7577 1.1213 0.7195 6.4474 0.6511
0.2084 14.9572 3.2218 12.2287 3.2130 1.4201 11.1113 0.2072
0.2101 0.3240 1.0577 7.1056 1.0370 0.4403 4.1506 0.8131
0.2685 -5.0586 2.0717 -14.4435 2.0730 1.2832 9.7286 0.3733
0.2268 -10.1745 1.0704 10.4770 1.0733 0.5394 5.3143 0.7442
0.2865 -8.5986 1.1917 -8.3086 1.1923 0.8709 7.3114 0.5821
0.2688 13.9156 3.1374 -19.3696 3.1578 1.3988 10.8804 0.2289
0.0910 -4.0071 1.3105 -5.1248 1.3079 0.9861 8.0119 0.5277
0.2902 -11.4238 1.0778 0.6714 1.0776 0.5766 5.6008 0.7212
0.2160 -0.2575 1.5759 -2.4229 1.5785 1.1402 8.8698 0.4575
0.2064 -5.5071 1.0971 7.5080 1.0972 0.6532 6.0723 0.6821
0.1505 19.2817 2.1684 -6.8765 2.1696 1.3003 9.8459 0.3599
0.2308 -10.3304 2.3549 -18.3787 2.3584 1.3275 10.0574 0.3338
0.1146 15.3140 1.0753 0.1608 1.0771 0.5645 5.5115 0.7285
0.1944 6.0973 1.8901 -7.0333 1.8954 1.2450 9.4854 0.3993
0.2346 -9.3466 1.7403 17.7940 1.7464 1.2032 9.2287 0.4250
0.2294 -11.5138 1.0582 13.4218 1.0402 0.4612 4.4737 0.7989
0.2096 3.9569 1.2269 -4.8333 1.2238 0.9119 7.5662 0.5622
0.0699 8.6948 1.0651 -2.5532 1.0647 0.5113 5.0660 0.7627
0.0529 -8.9246 1.3769 -3.0136 1.3777 1.0377 8.2956 0.5055
0.1977 4.7082 1.7218 -17.8043 1.7276 1.1965 9.1892 0.4287
0.2643 3.4587 1.1826 2.3219 1.1844 0.8538 7.2034 0.5906
0.2008 -20.8722 2.9173 -2.6141 2.9546 1.3810 10.6618 0.2535
0.2932 -6.8623 1.1469 -3.5980 1.1467 0.7783 6.7620 0.6257
0.0484 -20.2772 3.2261 -2.9657 3.2142 1.4223 11.1337 0.2053
0.2672 -18.0667 1.0812 -6.0169 1.0784 0.5954 5.7247 0.7110
0.1806 -5.4568 1.0824 13.2180 1.0787 0.6023 5.7684 0.7074
0.2193 -3.5043 1.9698 -2.7418 1.9734 1.2618 9.5922 0.3880
0.2115 0.0926 1.0829 -0.4103 1.0788 0.6048 5.7846 0.7060
0.1592 4.7536 1.4400 10.8231 1.4392 1.0791 8.5260 0.4867
0.2726 -6.8242 1.0699 -9.5930 1.0725 0.5367 5.2914 0.7459
0.1767 4.5043 1.1203 9.6873 1.1194 0.7138 6.4161 0.6538
0.1860 15.3426 1.0664 -2.3436 1.0668 0.5177 5.1259 0.7584
0.2195 -0.3961 3.1906 -7.6028 3.2046 1.4048 10.9485 0.2221
0.1466 -6.9637 1.1954 3.4163 1.1956 0.8779 7.3553 0.5787
0.1851 0.3968 3.2141 -2.3916 3.2109 1.4161 11.0708 0.2107
0.2761 3.4622 1.0627 4.3354 1.0580 0.4977 4.9197 0.7728
0.2381 5.8219 1.0616 20.8798 1.0534 0.4900 4.8314 0.7786
0.2687 -0.2939 1.0583 2.4458 1.0403 0.4619 4.4825 0.7984
0.2248 9.6560 1.1130 -10.2121 1.1133 0.6967 6.3204 0.6617
0.2618 11.2890 1.5232 11.0005 1.5239 1.1182 8.7489 0.4678
0.2143 -5.3507 1.2943 -5.8169 1.2902 0.9737 7.9371 0.5336
0.2564 6.9126 1.5642 -7.5201 1.5664 1.1354 8.8429 0.4598
0.0486 -0.2081 2.0092 4.2126 2.0119 1.2703 9.6450 0.3825
0.1998 -8.1699 1.7015 2.2921 1.7070 1.1891 9.1460 0.4328
0.2884 -3.8568 1.0589 0.4997 1.0422 0.4728 4.6217 0.7911
0.2144 9.7185 2.1829 -1.5789 2.1843 1.3026 9.8623 0.3580
0.1644 2.6858 1.0850 -2.6747 1.0813 0.6124 5.8321 0.7020
0.1790 -2.0124 1.3638 3.4962 1.3648 1.0288 8.2475 0.5093
0.0703 -5.2470 1.5630 -3.4884 1.5651 1.1349 8.8401 0.4601
0.0487 6.2630 1.0581 6.6254 1.0399 0.4588 4.4421 0.8004
0.2398 -19.1020 2.1129 -7.7585 2.1134 1.2913 9.7828 0.3672
0.2714 1.7787 1.6575 10.3661 1.6623 1.1727 9.0521 0.4414
0.1876 17.5772 3.1605 -15.2526 3.1791 1.4008 10.9034 0.2266
0.2957 -7.2061 1.0875 -12.3850 1.0846 0.6204 5.8807 0.6980
0.0599 -12.9848 1.0984 3.2752 1.0989 0.6576 6.0979 0.6800
0.0623 -7.2972 2.9009 8.4268 2.9395 1.3798 10.6455 0.2555
0.2498 6.9207 2.8262 13.3086 2.8705 1.3741 10.5713 0.2648
0.1465 2.1487 1.0579 12.9862 1.0394 0.4557 4.4015 0.8024
0.1187 -15.9179 1.0890 4.3778 1.0866 0.6256 5.9114 0.6955
0.2139 6.7214 2.5834 6.1115 2.6024 1.3532 10.3109 0.2998
0.2295 2.9073 1.1688 3.0652 1.1724 0.8276 7.0398 0.6033
0.1532 -13.5694 2.0294 -8.0123 2.0316 1.2745 9.6720 0.3796
0.2702 -8.5802 1.3695 2.5135 1.3704 1.0326 8.2683 0.5076
0.2785 -8.2955 1.1626 18.5823 1.1662 0.8151 6.9646 0.6092
0.2427 -6.5197 2.7431 -26.0889 2.7825 1.3674 10.4838 0.2763
0.2688 1.6617 1.7737 18.1547 1.7803 1.2151 9.2999 0.4181
0.2886 21.7629 2.1160 -16.6524 2.1165 1.2918 9.7864 0.3668
0.2963 5.3445 2.5791 -3.6510 2.5976 1.3527 10.3063 0.3004
0.1904 4.6239 1.0750 1.4849 1.0770 0.5631 5.5006 0.7294
0.2849 -25.5230 2.5683 -4.7848 2.5854 1.3517 10.2945 0.3020
0.1895 7.4587 1.1796 -0.3481 1.1819 0.8482 7.1686 0.5933
0.1775 -3.9333 1.2575 9.0772 1.2514 0.9433 7.7544 0.5478
0.1762 6.5325 1.0741 4.7758 1.0768 0.5588 5.4684 0.7320
0.1946 0.7297 1.0606 -10.8484 1.0492 0.4835 4.7529 0.7835
0.2269 -13.2713 1.0581 -5.0514 1.0399 0.4591 4.4465 0.8002
0.2145 -5.6796 1.2222 3.8955 1.2196 0.9070 7.5373 0.5644
0.2229 -19.0841 1.7516 0.5823 1.7578 1.2072 9.2527 0.4227
0.1486 19.0521 1.4313 -10.3486 1.4307 1.0735 8.4942 0.4894
0.2548 2.1850 1.1668 -4.2216 1.1707 0.8239 7.0167 0.6051
0.2015 -9.7416 1.4232 -4.7710 1.4228 1.0682 8.4646 0.4918
0.1857 1.3717 1.0717 12.5007 1.0754 0.5469 5.3750 0.7394
0.2231 8.0327 1.8795 -5.9921 1.8851 1.2428 9.4712 0.4007
0.0741 -12.5351 1.9710 -8.8671 1.9746 1.2621 9.5938 0.3879
0.2869 -6.0812 1.2082 -12.3284 1.2070 0.8931 7.4515 0.5710
0.2739 -4.4953 1.1976 5.0737 1.1975 0.8821 7.3819 0.5766
0.1691 9.6773 3.1993 -9.3466 3.2069 1.4089 10.9940 0.2177
0.1050 -4.5089 1.0612 -1.0620 1.0515 0.4871 4.7967 0.7808
0.2543 -9.9923 1.7229 -13.6310 1.7287 1.1969 9.1915 0.4285
0.2887 11.3539 1.0629 4.0434 1.0586 0.4986 4.9308 0.7721
0.2080 11.2189 1.8896 -5.5369 1.8949 1.2449 9.4847 0.3993
0.1633 15.4562 1.9044 -2.0889 1.9094 1.2479 9.5046 0.3972
0.2828 3.0188 1.0792 -10.7055 1.0780 0.5842 5.6518 0.7170
0.1012 -1.5585 1.1173 -9.9055 1.1169 0.7069 6.3773 0.6570
0.1425 0.2873 1.6228 -21.2874 1.6270 1.1595 8.9772 0.4481
0.1352 0.0192 1.0862 2.7645 1.0829 0.6163 5.8560 0.7000
0.2470 16.0347 2.3319 -14.0778 2.3351 1.3244 10.0314 0.3372
0.2301 12.0358 1.2582 -16.4248 1.2521 0.9441 7.7590 0.5474
0.1117 6.5868 2.3257 0.1809 2.3288 1.3236 10.0243 0.3381
0.2347 -5.4896 1.4845 6.7737 1.4839 1.1027 8.6601 0.4755
0.0449 -9.3831 1.0738 -1.3718 1.0767 0.5576 5.4588 0.7327
0.1070 -0.7466 1.1370 -9.8188 1.1346 0.7552 6.6354 0.6358
0.1472 -1.1376 1.4529 -6.1658 1.4518 1.0874 8.5732 0.4828
0.2445 -5.3955 3.1410 3.7095 3.1611 1.3991 10.8839 0.2286
0.2336 3.1019 2.4405 -5.8576 2.4450 1.3382 10.1546 0.3210
0.0548 -6.8524 1.0612 -10.4567 1.0518 0.4876 4.8020 0.7804
0.2900 2.2890 1.0696 1.9240 1.0720 0.5351 5.2780 0.7470
0.2901 0.5305 1.1855 12.2820 1.1870 0.8594 7.2385 0.5879
0.1794 7.7348 1.9057 2.7869 1.9107 1.2482 9.5063 0.3971
0.1173 -4.2706 2.1127 7.5850 2.1132 1.2913 9.7827 0.3673
0.2277 4.9161 1.0617 -3.4432 1.0538 0.4908 4.8406 0.7780
0.2029 -13.6844 1.0582 -0.8563 1.0403 0.4615 4.4782 0.7987
0.1085 4.4911 1.0849 11.7784 1.0812 0.6122 5.8305 0.7022
0.1876 -12.7699 1.2356 -8.8458 1.2317 0.9209 7.6200 0.5581
0.1826 -6.2193 1.1800 6.1258 1.1822 0.8489 7.1726 0.5930
0.2022 -0.2008 2.4822 -3.9287 2.4884 1.3429 10.2014 0.3147
0.2359 -7.0685 1.0610 2.7342 1.0509 0.4862 4.7856 0.7815
0.2423 5.4801 1.4407 8.8958 1.4399 1.0796 8.5287 0.4865
0.2175 -14.4953 2.3315 11.7708 2.3347 1.3243 10.0309 0.3372
0.0991 10.4830 1.0821 -21.3199 1.0786 0.6008 5.7588 0.7082
0.1978 -20.8766 2.6404 -14.0482 2.6668 1.3584 10.3727 0.2913
0.2821 23.6253 1.8372 6.4681 1.8437 1.2338 9.4146 0.4066
0.2237 -7.8942 1.0686 7.3813 1.0704 0.5295 5.2303 0.7506
0.2111 7.2966 2.5975 14.2798 2.6184 1.3545 10.3262 0.2977
0.1170 14.4568 2.6247 8.2159 2.6490 1.3570 10.3556 0.2936
0.1525 -0.9985 1.0826 -17.5737 1.0787 0.6032 5.7744 0.7069
0.2151 -16.0949 1.2425 -11.1706 1.2379 0.9279 7.6621 0.5549
0.2939 11.2637 1.2811 2.9313 1.2757 0.9635 7.8757 0.5384
0.1537 -4.6049 1.8539 -3.6073 1.8600 1.2374 9.4370 0.4043
0.2038 17.4588 1.0618 6.0280 1.0540 0.4912 4.8445 0.7778
0.2006 -5.0781 1.0695 -2.4941 1.0719 0.5345 5.2732 0.7473
0.2821 1.3678 1.0717 -9.4889 1.0754 0.5469 5.3750 0.7394
0.2258 -3.4860 1.8627 -9.6174 1.8686 1.2392 9.4487 0.4031
0.2340 -16.9381 2.7155 -8.8114 2.7514 1.3650 10.4539 0.2803
0.2573 9.9981 1.1681 7.6402 1.1719 0.8265 7.0324 0.6039
0.2497 10.2147 2.7978 -0.6260 2.8442 1.3720 10.5430 0.2685
0.1582 2.7888 1.1117 -6.5247 1.1123 0.6938 6.3040 0.6631
0.1845 -6.5528 1.0577 12.4972 1.0370 0.4402 4.1476 0.8132
0.2246 5.7005 1.1414 8.3979 1.1400 0.7655 6.6919 0.6313
0.2025 15.8411 1.1118 -19.3388 1.1123 0.6938 6.3043 0.6631
0.2779 -1.1463 1.0589 13.5343 1.0421 0.4727 4.6203 0.7912
0.1845 7.2022 3.0597 -11.1361 3.0861 1.3923 10.8033 0.2372
0.2589 -25.6061 2.9783 0.3713 3.0109 1.3858 10.7223 0.2463
0.0763 -0.8065 1.2551 -4.0007 1.2492 0.9408 7.7396 0.5489
0.0450 5.0599 2.1306 -2.8839 2.1313 1.2942 9.8029 0.3649
0.2755 -8.8952 1.6742 10.3119 1.6793 1.1790 9.0877 0.4381
0.2442 -1.4543 1.0579 14.5878 1.0394 0.4554 4.3975 0.8026
0.1783 7.0630 1.1520 -11.0001 1.1530 0.7902 6.8275 0.6204
0.1963 -0.5070 1.0678 3.1538 1.0691 0.5250 5.1914 0.7535
0.1454 5.5057 1.7754 7.4137 1.7820 1.2157 9.3035 0.4177
0.2632 8.0746 1.0685 1.7634 1.0701 0.5286 5.2230 0.7512
0.1470 5.1593 1.1914 -1.0921 1.1921 0.8705 7.3083 0.5824
0.2023 -2.6298 1.6129 7.7022 1.6168 1.1555 8.9546 0.4501
0.2828 5.5948 1.1788 1.0285 1.1812 0.8467 7.1592 0.5941
0.2784 2.4714 1.5926 9.4189 1.5958 1.1471 8.9080 0.4542
0.2344 2.3499 2.6274 10.7324 2.6521 1.3573 10.3586 0.2932
0.1810 11.6909 3.1488 3.2705 3.1683 1.3998 10.8917 0.2278
0.0652 -12.1908 2.3824 -8.8487 2.3862 1.3310 10.0886 0.3297
0.2885 7.6290 1.8162 3.8054 1.8232 1.2293 9.3865 0.4095
0.0887 0.2985 1.1084 -8.2924 1.1095 0.6861 6.2607 0.6667
0.1678 4.2185 3.2059 6.9440 3.2087 1.4121 11.0283 0.2145
0.1190 9.5504 2.5458 5.8152 2.5600 1.3495 10.2702 0.3053
0.1816 1.6441 1.0599 -0.4601 1.0365 0.4366 3.9555 0.8201
0.2398 1.2411 1.1341 3.6477 1.1309 0.7482 6.5976 0.6389
0.2404 19.2027 1.1295 4.8638 1.1271 0.7372 6.5377 0.6436
0.2224 3.3873 2.8932 4.5538 2.9324 1.3792 10.6378 0.2565
0.1827 -1.9523 1.1948 3.0323 1.1951 0.8768 7.3484 0.5792
0.1656 5.8927 2.9045 3.0048 2.9428 1.3801 10.6491 0.2551
